Codigo;Nome;;;;;;;;;;;;;;;;
566;Ilhas do Pacífico (EUA);;;;;;;;;;;;;;;;
573;Países Baixos (Holanda);;;;;;;;;;;;;;;;
575;Palau;;;;;;;;;;;;;;;;
576;Paquistão;;;;;;;;;;;;;;;;
578;Palestina;;;;;;;;;;;;;;;;
580;Panamá;;;;;;;;;;;;;;;;
586;Paraguai;;;;;;;;;;;;;;;;
589;Peru;;;;;;;;;;;;;;;;
599;Polinésia Francesa;;;;;;;;;;;;;;;;
603;Polônia;;;;;;;;;;;;;;;;
607;Portugal;;;;;;;;;;;;;;;;
611;Porto Rico;;;;;;;;;;;;;;;;
623;Quênia;;;;;;;;;;;;;;;;
625;Quirguistão;;;;;;;;;;;;;;;;
628;Reino Unido;;;;;;;;;;;;;;;;
640;República Centro-Africana;;;;;;;;;;;;;;;;
647;República Dominicana;;;;;;;;;;;;;;;;
660;Reunião;;;;;;;;;;;;;;;;
665;Zimbábue;;;;;;;;;;;;;;;;
670;Romênia;;;;;;;;;;;;;;;;
675;Ruanda;;;;;;;;;;;;;;;;
676;Rússia;;;;;;;;;;;;;;;;
677;Ilhas Salomão;;;;;;;;;;;;;;;;
687;El Salvador;;;;;;;;;;;;;;;;
690;Samoa;;;;;;;;;;;;;;;;
691;Samoa Americana;;;;;;;;;;;;;;;;
695;São Cristóvão e Névis;;;;;;;;;;;;;;;;
697;San Marino;;;;;;;;;;;;;;;;
698;Ilha de São Martinho (parte francesa);;;;;;;;;;;;;;;;
699;Sint Maarten;;;;;;;;;;;;;;;;
700;São Pedro e Miquelon;;;;;;;;;;;;;;;;
705;São Vicente e Granadinas;;;;;;;;;;;;;;;;
710;Santa Helena;;;;;;;;;;;;;;;;
715;Santa Lúcia;;;;;;;;;;;;;;;;
720;São Tomé e Príncipe;;;;;;;;;;;;;;;;
728;Senegal;;;;;;;;;;;;;;;;
731;Seicheles;;;;;;;;;;;;;;;;
735;Serra Leoa;;;;;;;;;;;;;;;;
737;Sérvia;;;;;;;;;;;;;;;;
741;Singapura;;;;;;;;;;;;;;;;
744;Síria;;;;;;;;;;;;;;;;
748;Somália;;;;;;;;;;;;;;;;
750;Sri Lanka;;;;;;;;;;;;;;;;
754;Suazilândia;;;;;;;;;;;;;;;;
756;África do Sul;;;;;;;;;;;;;;;;
759;Sudão;;;;;;;;;;;;;;;;
760;Sudão do Sul;;;;;;;;;;;;;;;;
764;Suécia;;;;;;;;;;;;;;;;
767;Suíça;;;;;;;;;;;;;;;;
770;Suriname;;;;;;;;;;;;;;;;
772;Tadjiquistão;;;;;;;;;;;;;;;;
776;Tailândia;;;;;;;;;;;;;;;;
780;Tanzânia;;;;;;;;;;;;;;;;
781;Terras Austrais Francesas;;;;;;;;;;;;;;;;
782;Território Britânico do Oceano Índico;;;;;;;;;;;;;;;;
783;Djibuti;;;;;;;;;;;;;;;;
788;Chade;;;;;;;;;;;;;;;;
790;Tchecoslováquia;;;;;;;;;;;;;;;;
791;República Tcheca;;;;;;;;;;;;;;;;
795;Timor Leste;;;;;;;;;;;;;;;;
800;Togo;;;;;;;;;;;;;;;;
810;Tonga;;;;;;;;;;;;;;;;
815;Trinidad e Tobago;;;;;;;;;;;;;;;;
820;Tunísia;;;;;;;;;;;;;;;;
823;Ilhas Turcas e Caicos;;;;;;;;;;;;;;;;
824;Turcomenistão;;;;;;;;;;;;;;;;
827;Turquia;;;;;;;;;;;;;;;;
828;Tuvalu;;;;;;;;;;;;;;;;
831;Ucrânia;;;;;;;;;;;;;;;;
833;Uganda;;;;;;;;;;;;;;;;
845;Uruguai;;;;;;;;;;;;;;;;
847;Uzbequistão;;;;;;;;;;;;;;;;
850;Venezuela;;;;;;;;;;;;;;;;
858;Vietnã;;;;;;;;;;;;;;;;
863;Ilhas Virgens (Britânicas);;;;;;;;;;;;;;;;
866;Ilhas Virgens (Americanas);;;;;;;;;;;;;;;;
870;Fiji;;;;;;;;;;;;;;;;
873;Ilha Wake;;;;;;;;;;;;;;;;
875;Ilhas Wallis e Futuna;;;;;;;;;;;;;;;;
888;República Democrática Congo;;;;;;;;;;;;;;;;
890;Zâmbia;;;;;;;;;;;;;;;;
895;Zona do Canal do Panamá;;;;;;;;;;;;;;;;
995;Bancos Centrais;;;;;;;;;;;;;;;;
